alpha,edge_mean_holdout,edge_std_holdout,harm_mean_holdout,harm_std_holdout,gap_mean_holdout,gap_std_holdout,edge_mean_random,edge_std_random,harm_mean_random,harm_std_random,gap_mean_random,gap_std_random
-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22000000000000003,0.07490735018081411,0.25,0.08794529549668931,0.02999999999999999,0.036252394556927005
-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.06545778962218493,0.2325,0.05902859476558797,0.042499999999999996,0.028473915938783144
-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.051572494822552675,0.21000000000000002,0.04626688880830437,0.04,0.024755751295854916
-4.0,0.0071069182389937105,0.009762619007018128,0.0,0.0,-0.0071069182389937105,0.009762619007018128,0.13999999999999999,0.03555121501283591,0.1925,0.024366985862022413,0.052500000000000005,0.02725904538966022
-2.0,0.020521859904654917,0.009643018295784386,0.0325,0.006846531968814576,0.011978140095345084,0.01467455129815783,0.12,0.013944333775567922,0.19,0.010458250331675956,0.06999999999999999,0.012977009585331198
-1.0,0.06376199964623373,0.01543112567111911,0.06999999999999999,0.006846531968814571,0.006238000353766262,0.018554868410282012,0.11000000000000001,0.0037267799624996515,0.17250000000000001,0.010458250331675939,0.0625,0.010622957319984966
0.0,0.10319716846419758,0.0223236762279068,0.175,0.0,0.07180283153580243,0.0223236762279068,0.10833333333333335,0.0,0.175,0.0,0.06666666666666665,0.0
1.0,0.20733761210895843,0.043999011653812654,0.24,0.005590169943749484,0.03266238789104155,0.042987541946134696,0.10833333333333335,0.0,0.16999999999999998,0.011180339887498949,0.06166666666666667,0.011180339887498943
2.0,0.2991414569156814,0.05467079797323825,0.3525,0.03112474899497185,0.0533585430843186,0.04834751267250449,0.10666666666666666,0.0037267799624996494,0.16,0.020539595906443726,0.05333333333333332,0.019851882082619322
4.0,0.4772877607415503,0.09157419785512085,0.6224999999999999,0.038931028755993566,0.1452122392584497,0.0726105371049587,0.09833333333333334,0.01086533734200442,0.14250000000000002,0.04201934078492902,0.04416666666666667,0.0336701730847282
6.0,0.7089790368108245,0.10321107150672579,0.8175000000000001,0.05902859476558797,0.10852096318917552,0.046300624623439667,0.10333333333333335,0.029814239699997195,0.1275,0.05477225575051661,0.024166666666666663,0.029814239699997202
